Rank,Batsman,In Strength,PageRank Score,Batting Average
270,Z Khan,4.63455,0.00048,3.65625  
271,PD Collingwood,6.6712,0.00047,29.0     
272,M Kartik,4.93601,0.00047,7.0625   
273,S Anirudha,5.43425,0.00047,10.46154 
274,AD Hales,5.61247,0.00047,24.66667 
275,RD Chahar,4.73828,0.00047,5.375    
276,MA Starc,4.32725,0.00047,6.17647  
277,RJ Harris,4.42227,0.00047,5.57143  
278,DS Kulkarni,4.14051,0.00047,4.52174  
279,P Dogra,4.75639,0.00047,10.58333 
280,UT Khawaja,4.87541,0.00047,21.16667 
281,TK Curran,4.95986,0.00047,12.7     
282,Harpreet Singh,4.9252,0.00047,15.375   
283,Sandeep Sharma,2.85898,0.00047,2.0      
284,BB Samantray,5.02936,0.00047,15.625   
285,Mohammed Siraj,4.51823,0.00047,4.36     
286,Anmolpreet Singh,5.2331,0.00047,15.44444 
287,SM Pollock,5.19898,0.00047,18.375   
288,SB Styris,5.16676,0.00047,13.1     
289,KK Cooper,4.8259,0.00047,8.28571  
290,SD Chitnis,3.93764,0.00047,12.375   
291,Iqbal Abdulla,3.99724,0.00047,6.76923  
292,S Vidyut,5.63526,0.00047,18.125   
293,SE Rutherford,4.11225,0.00047,11.77778 
294,Naman Dhir,5.10465,0.00047,20.0     
295,MS Gony,3.95459,0.00047,5.82353  
296,Niraj Patel,4.97819,0.00047,20.16667 
297,S Rana,3.7157,0.00047,11.375   
298,R Shepherd,4.72834,0.00046,12.77778 
299,W Jaffer,4.64899,0.00046,16.25    
300,DJM Short,4.23407,0.00046,16.42857 
301,AD Nath,3.5855,0.00046,9.0      
302,Aman Hakim Khan,4.57501,0.00046,11.5     
303,MJ McClenaghan,3.53437,0.00046,3.54167  
304,JDP Oram,3.94385,0.00046,8.83333  
305,RJ Quiney,4.1692,0.00046,14.71429 
306,Kamran Akmal,4.94821,0.00046,21.33333 
307,LJ Wright,4.37574,0.00046,17.66667 
308,SL Malinga,3.40881,0.00046,3.52     
309,NM Coulter-Nile,3.3145,0.00046,4.82353  
310,Mohammed Shami,3.18866,0.00046,2.96     
311,Ankit Sharma,3.70151,0.00046,8.7      
312,MW Short,4.425,0.00046,19.5     
313,CJ Ferguson,3.93005,0.00046,12.25    
314,TA Boult,3.26636,0.00046,3.07407  
315,RT Ponting,3.57524,0.00046,10.11111 
316,CR Woakes,3.25116,0.00046,6.5      
317,MJ Clarke,3.98884,0.00046,16.33333 
318,AC Blizzard,4.52189,0.00046,17.14286 
319,DJ Harris,4.04266,0.00046,27.75    
320,IR Jaggi,3.35156,0.00046,10.85714 
321,JDS Neesham,3.53698,0.00046,9.2      
322,DJ Jacobs,3.65882,0.00046,13.14286 
323,Misbah-ul-Haq,4.169,0.00046,14.625   
324,CJ Jordan,3.28368,0.00046,6.23077  
325,JJ Bumrah,2.69561,0.00046,2.26667  
326,DL Chahar,3.16266,0.00046,6.15385  
327,AJ Tye,3.32844,0.00046,7.0      
328,I Sharma,2.56467,0.00046,2.03571  
329,WPUJC Vaas,3.25131,0.00046,7.36364  
330,RE Levi,3.59054,0.00046,13.83333 
331,R Sharma,2.83029,0.00046,3.3      
332,PR Shah,3.39478,0.00046,9.2      
333,PWH de Silva,2.93925,0.00046,5.14286  
334,MJ Santner,2.98696,0.00045,6.36364  
335,B Akhil,3.46369,0.00045,6.90909  
336,Arshad Khan,3.72006,0.00045,16.0     
337,J Suchith,2.87376,0.00045,7.0      
338,Shahid Afridi,3.03793,0.00045,9.0      
339,KA Jamieson,2.76972,0.00045,9.28571  
340,RV Patel,3.27375,0.00045,11.42857 
341,M Jansen,2.73421,0.00045,5.07692  
342,RP Singh,2.22217,0.00045,1.73333  
343,RR Powar,2.85094,0.00045,6.7      
344,JR Philippe,2.924,0.00045,15.6     
345,KC Cariappa,1.57336,0.00045,4.8      
346,LH Ferguson,2.7908,0.00045,6.8      
347,AD Mascarenhas,2.86752,0.00045,6.58333  
348,AA Bilakhia,2.88614,0.00045,9.85714  
349,WD Parnell,2.60349,0.00045,4.64286  
350,TR Birt,3.04739,0.00045,15.0     
351,SP Jackson,2.52484,0.00045,7.625    
352,AP Majumdar,3.30177,0.00045,21.75    
353,PN Mankad,3.79861,0.00045,16.16667 
354,LA Carseldine,3.41189,0.00045,16.2     
355,A Flintoff,2.61185,0.00045,20.66667 
356,M Klinger,2.80309,0.00045,18.25    
357,Mohammad Hafeez,2.63373,0.00045,8.0      
358,S Aravind,2.4037,0.00045,4.91667  
359,RR Sarwan,2.64529,0.00045,18.25    
360,VR Aaron,2.04523,0.00045,3.84615  
361,WA Mota,2.22621,0.00045,7.0      
362,GD Phillips,2.21977,0.00045,8.125    
363,A Nortje,2.00861,0.00045,3.26667  
364,Shoaib Malik,2.09881,0.00045,10.4     
365,R Rampaul,2.06004,0.00045,7.28571  
366,S Nadeem,1.54793,0.00045,1.77273  
367,MG Bracewell,2.42633,0.00045,14.5     
368,M Rawat,2.15191,0.00045,4.58333  
369,KB Arun Karthik,2.1027,0.00045,6.375    
370,A Nehra,1.81082,0.00045,1.86364  
371,Sameer Rizvi,2.18641,0.00045,10.2     
372,SK Trivedi,1.70792,0.00045,2.8      
373,Shivam Mavi,1.79287,0.00045,4.25     
374,RV Gomez,2.01014,0.00045,5.55556  
375,Swapnil Singh,2.14574,0.00045,5.66667  
376,MM Patel,1.90467,0.00045,2.6      
377,A Kumble,1.54033,0.00045,2.05882  
378,Yashpal Singh,1.92254,0.00045,11.75    
379,YS Chahal,1.43673,0.00045,1.85     
380,M Markande,1.94845,0.00045,4.36364  
381,HR Shokeen,2.41363,0.00045,11.0     
382,Anureet Singh,1.59368,0.00045,4.5      
383,SB Bangar,1.88501,0.00045,6.125    
384,Vishnu Vinod,2.12072,0.00045,9.33333  
385,OF Smith,1.92706,0.00045,8.5      
386,DJ Willey,2.12505,0.00045,10.6     
387,L Balaji,1.40316,0.00045,2.4      
388,A Chopra,2.01474,0.00045,8.83333  
389,Anirudh Singh,2.33707,0.00045,15.75    
390,Avesh Khan,1.84493,0.00045,4.1      
391,KW Richardson,1.49229,0.00045,9.0      
392,PVD Chameera,1.98583,0.00045,5.375    
393,T Kohler-Cadmore,1.76786,0.00045,16.0     
394,Rasikh Salam,1.698,0.00045,6.66667  
395,AG Paunikar,1.94503,0.00045,9.8      
396,BR Dunk,1.70787,0.00045,13.33333 
397,Sanvir Singh,1.80979,0.00045,5.0      
398,Joginder Sharma,1.60689,0.00045,6.0      
399,Imran Tahir,1.30908,0.00045,3.66667  
400,S Sreesanth,1.3966,0.00045,2.42857  
401,AS Yadav,1.72507,0.00045,8.16667  
402,AUK Pathan,1.63412,0.00045,5.57143  
403,B Sumanth,1.38732,0.00045,8.75     
404,DR Sams,1.5103,0.00045,3.38462  
405,PJ Sangwan,1.20529,0.00045,1.73333  
406,M Ashwin,1.31803,0.00045,2.69231  
407,DJ Thornely,1.55956,0.00045,9.75     
408,Ravi Bishnoi,1.24731,0.00045,2.13333  
409,D Pretorius,1.90352,0.00045,8.8      
410,Vivrant Sharma,2.62529,0.00045,69.0     
411,AB Dinda,1.13464,0.00045,1.52941  
412,Sohail Tanvir,1.44382,0.00045,7.2      
413,AS Rajpoot,1.10107,0.00045,3.71429  
414,Azmatullah Omarzai,1.45699,0.00044,10.5     
415,Arshdeep Singh,1.14985,0.00044,2.41667  
416,RJ Peterson,1.27989,0.00044,6.4      
417,NA Saini,1.29675,0.00044,5.16667  
418,SB Jakati,1.28814,0.00044,3.5      
419,AP Dole,1.53832,0.00044,17.0     
420,Basil Thampi,1.19899,0.00044,4.0      
421,AB Barath,1.61435,0.00044,14.0     
422,A Mithun,1.31769,0.00044,4.25     
423,Sunny Singh,1.47725,0.00044,8.6      
424,CV Varun,1.06866,0.00044,2.08333  
425,Umar Gul,1.39683,0.00044,9.75     
426,PP Ojha,0.82042,0.00044,0.69565  
427,S Narwal,1.59978,0.00044,9.25     
428,AT Carey,1.3619,0.00044,10.66667 
429,J Syed Mohammad,1.27386,0.00044,5.8      
430,NS Naik,1.20417,0.00044,7.75     
431,AS Joseph,1.17447,0.00044,3.85714  
432,SB Dubey,1.3369,0.00044,11.0     
433,J Yadav,1.33787,0.00044,8.0      
434,J Arunkumar,1.45392,0.00044,7.66667  
435,T Taibu,1.12032,0.00044,10.33333 
436,AN Ahmed,1.10877,0.00044,6.0      
437,GB Hogg,1.03415,0.00044,3.66667  
438,BMAJ Mendis,0.95356,0.00044,7.66667  
439,SW Tait,0.99884,0.00044,4.6      
440,AJ Turner,1.00046,0.00044,4.0      
441,AS Roy,1.09324,0.00044,4.33333  
442,L Ronchi,1.14318,0.00044,6.8      
443,VH Zol,1.23687,0.00044,14.5     
444,LPC Silva,1.62823,0.00044,13.33333 
445,Mohsin Khan,1.05002,0.00044,5.0      
446,AC Thomas,0.9535,0.00044,5.0      
447,C Sakariya,0.94773,0.00044,2.5      
448,M Muralitharan,0.79502,0.00044,2.22222  
449,S Chanderpaul,1.12176,0.00044,8.33333  
450,Parvez Rasool,0.73752,0.00044,3.4      
451,KMA Paul,0.78805,0.00044,3.0      
452,MD Shanaka,0.88244,0.00044,8.66667  
453,NL McCullum,1.07708,0.00044,13.0     
454,S Kaul,0.80912,0.00044,1.66667  
455,AF Milne,0.93816,0.00044,3.83333  
456,RR Raje,0.90461,0.00044,4.0      
457,Naveen-ul-Haq,0.82072,0.00044,3.0      
458,Tanush Kotian,1.08031,0.00044,24.0     
459,M Ntini,1.07317,0.00044,5.5      
460,TL Seifert,1.04183,0.00044,8.66667  
461,SA Abbott,0.80937,0.00044,7.33333  
462,DE Bollinger,0.74418,0.00044,5.25     
463,JR Hazlewood,0.83175,0.00044,3.16667  
464,PV Tambe,0.70538,0.00044,3.0      
465,NT Ellis,0.83311,0.00044,3.8      
466,NJ Maddinson,0.82436,0.00044,6.66667  
467,Umran Malik,0.80641,0.00044,3.83333  
468,JM Kemp,1.06445,0.00044,13.0     
469,Noor Ahmad,0.74585,0.00044,1.85714  
470,P Dubey,0.88151,0.00044,11.5     
471,TU Deshpande,0.87299,0.00044,5.25     
472,S Sriram,0.95709,0.00044,15.5     
473,ER Dwivedi,1.01247,0.00044,12.0     
474,A Zampa,0.67602,0.00044,3.0      
475,D Salunkhe,1.21736,0.00044,11.0     
476,Sumit Kumar,0.76159,0.00044,6.0      
477,HE van der Dussen,0.83718,0.00044,7.33333  
478,Yudhvir Singh,0.74675,0.00044,5.5      
479,KL Nagarkoti,0.78049,0.00044,3.14286  
480,Y Gnaneswara Rao,0.76453,0.00044,19.0     
481,Vijaykumar Vyshak,0.62736,0.00044,3.5      
482,MA Khote,0.9001,0.00044,8.0      
483,CK Kapugedera,0.79306,0.00044,5.33333  
484,Karanveer Singh,0.59473,0.00044,3.0      
485,G Coetzee,0.63421,0.00044,2.8      
486,R Shukla,0.81427,0.00044,4.75     
487,KS Sharma,0.61819,0.00044,5.33333  
488,DJ Malan,0.82595,0.00044,26.0     
489,Saurav Chauhan,0.75723,0.00044,6.0      
490,A Choudhary,0.90342,0.00044,8.33333  
491,A Mukund,0.81091,0.00044,9.5      
492,Gulbadin Naib,0.85876,0.00044,19.0     
493,AU Rashid,0.82039,0.00044,11.0     
494,P Sahu,0.8413,0.00044,9.5      
495,DR Martyn,0.72945,0.00044,19.0     
496,VY Mahesh,0.56818,0.00044,3.0      
497,Akash Deep,0.68652,0.00044,6.33333  
498,Virat Singh,0.5597,0.00044,7.5      
499,P Ray Barman,0.77795,0.00044,19.0     
500,JL Pattinson,0.7247,0.00044,7.5      
501,T Thushara,0.54359,0.00044,3.0      
502,C Madan,0.67298,0.00044,15.0     
503,AA Chavan,0.55498,0.00044,4.0      
504,B Indrajith,0.77433,0.00044,7.0      
505,MDKJ Perera,0.55464,0.00044,7.0      
506,DNT Zoysa,0.70285,0.00044,5.5      
507,Kartik Tyagi,0.58845,0.00044,1.85714  
508,YV Dhull,0.56724,0.00044,5.33333  
509,I Udana,0.62382,0.00044,3.75     
510,TD Paine,0.40971,0.00044,5.0      
511,Harmeet Singh,0.69346,0.00044,3.0      
512,JJ van der Wath,0.6806,0.00044,6.0      
513,T Henderson,0.45007,0.00044,5.5      
514,Mujeeb Ur Rahman,0.55321,0.00044,1.71429  
515,MA Wood,0.48429,0.00044,4.0      
516,DT Patil,0.53464,0.00044,6.5      
517,KAJ Roach,0.4846,0.00044,10.0     
518,X Thalaivan Sargunam,0.45763,0.00044,10.0     
519,KJ Abbott,0.60306,0.00044,4.33333  
520,VG Arora,0.36601,0.00044,1.125    
521,Mustafizur Rahman,0.51317,0.00044,1.44444  
522,S Badree,0.47125,0.00044,2.6      
523,JA Richardson,0.63863,0.00044,5.66667  
524,FA Allen,0.51389,0.00044,3.5      
525,J Theron,0.42967,0.00044,2.5      
526,GR Napier,0.46238,0.00044,15.0     
527,RK Bhui,0.44258,0.00044,2.5      
528,BB Sran,0.41626,0.00044,1.11111  
529,AG Murtaza,0.38211,0.00044,3.33333  
530,K Upadhyay,0.52436,0.00044,6.0      
531,RA Bawa,0.47743,0.00044,5.5      
532,Mukesh Kumar,0.38975,0.00044,2.0      
533,DS Lehmann,0.62736,0.00044,9.0      
534,V Viyaskanth,0.33622,0.00044,7.0      
535,Pankaj Singh,0.2774,0.00044,1.4      
536,M Prasidh Krishna,0.36289,0.00044,0.9      
537,DR Shorey,0.44326,0.00044,6.5      
538,SMSM Senanayake,0.36651,0.00044,2.5      
539,T Banton,0.5254,0.00044,9.0      
540,VS Malik,0.32907,0.00044,3.5      
541,R Bishnoi,0.5598,0.00044,6.33333  
542,TM Srivastava,0.39401,0.00044,2.66667  
543,AR Bawne,0.57783,0.00044,12.0     
544,Jaskaran Singh,0.32539,0.00044,1.6      
545,JE Root,0.42414,0.00044,10.0     
546,OC McCoy,0.39499,0.00044,8.0      
547,IS Sodhi,0.28105,0.00044,3.5      
548,Arjun Tendulkar,0.5772,0.00044,13.0     
549,SM Harwood,0.35383,0.00044,4.5      
550,DAJ Bracewell,0.52263,0.00044,12.0     
551,B Laughlin,0.23885,0.00044,1.25     
552,SJ Srivastava,0.24891,0.00044,1.25     
