Rank,Batsman,In Strength,PageRank Score,Batting Average
574,I Sharma,2.56467,0.00046,2.03571
575,SH Johnson,0.283,0.00044,2.0
576,Sandeep Sharma,2.85898,0.00047,2.0
577,A Chandila,0.18972,0.00044,2.0
578,RG More,0.09762,0.00044,2.0
579,BR Sharath,0.06982,0.00044,2.0
580,T Shamsi,0.08314,0.00044,2.0
581,Mukesh Kumar,0.38975,0.00044,2.0
582,VRV Singh,0.15398,0.00044,2.0
583,S Randiv,0.11772,0.00044,2.0
584,FH Edwards,0.13951,0.00044,2.0
585,A Uniyal,0.17794,0.00044,2.0
586,RS Gavaskar,0.09706,0.00044,2.0
587,Shivam Singh,0.0602,0.00044,2.0
588,H Das,0.11765,0.00044,2.0
589,Shoaib Akhtar,0.12849,0.00044,2.0
590,Mohammad Ashraful,0.07368,0.00044,2.0
591,CRD Fernando,0.18998,0.00044,2.0
592,VS Yeligati,0.06026,0.00044,2.0
593,Mashrafe Mortaza,0.07012,0.00044,2.0
594,RJ Gleeson,0.0858,0.00044,2.0
595,Navdeep Saini,0.06707,0.00044,2.0
596,A Kamboj,0.09591,0.00044,2.0
597,A Nehra,1.81082,0.00045,1.86364
598,Noor Ahmad,0.74585,0.00044,1.85714
599,Kartik Tyagi,0.58845,0.00044,1.85714
600,YS Chahal,1.43673,0.00045,1.85
601,S Nadeem,1.54793,0.00045,1.77273
602,PJ Sangwan,1.20529,0.00045,1.73333
603,RP Singh,2.22217,0.00045,1.73333
604,Mujeeb Ur Rahman,0.55321,0.00044,1.71429
605,S Kaul,0.80912,0.00044,1.66667
606,TS Mills,0.3187,0.00044,1.6
607,Jaskaran Singh,0.32539,0.00044,1.6
608,AB Dinda,1.13464,0.00045,1.52941
609,Fazalhaq Farooqi,0.12888,0.00044,1.5
610,Mohammad Asif,0.14082,0.00044,1.5
611,Kamran Khan,0.11111,0.00044,1.5
612,JE Taylor,0.14996,0.00044,1.5
613,Mustafizur Rahman,0.51317,0.00044,1.44444
614,Pankaj Singh,0.2774,0.00044,1.4
615,GD McGrath,0.19641,0.00044,1.33333
616,DP Nannes,0.1881,0.00044,1.33333
617,B Laughlin,0.23885,0.00044,1.25
618,SJ Srivastava,0.24891,0.00044,1.25
619,VG Arora,0.36601,0.00044,1.125
620,BB Sran,0.41626,0.00044,1.11111
621,BAW Mendis,0.13286,0.00044,1.0
622,Mohit Rathee,0.0411,0.00044,1.0
623,PM Sarvesh Kumar,0.04502,0.00044,1.0
624,GC Viljoen,0.14957,0.00044,1.0
625,SZ Mulani,0.03895,0.00044,1.0
626,Abdul Basith,0.05028,0.00044,1.0
627,SB Wagh,0.11772,0.00044,1.0
628,SE Bond,0.05882,0.00044,1.0
629,KA Maharaj,0.03357,0.00044,1.0
630,Kumar Kushagra,0.11509,0.00044,1.0
631,S Tyagi,0.11484,0.00044,1.0
632,HF Gurney,0.02899,0.00044,1.0
633,NJ Rimmington,0.0454,0.00044,1.0
634,M de Lange,0.0454,0.00044,1.0
635,MJ Suthar,0.03587,0.00044,1.0
636,LB Williams,0.04796,0.00044,1.0
637,M Prasidh Krishna,0.36289,0.00044,0.9
638,T Natarajan,0.11221,0.00044,0.75
639,P Awana,0.19059,0.00044,0.71429
640,PP Ojha,0.82042,0.00044,0.69565
641,Harshit Rana,0.08411,0.00044,0.66667
642,GHS Garton,0.08316,0.00044,0.66667
643,KP Appanna,0.09211,0.00044,0.66667
644,LE Plunkett,0.03495,0.00044,0.5
645,DP Vijaykumar,0.04502,0.00044,0.5
646,DJ Muthuswami,0.05028,0.00044,0.5
647,P Parameswaran,0.01786,0.00044,0.5
648,A Singh,0.09453,0.00044,0.4
649,BE Hendricks,0.04996,0.00044,0.33333
650,Shoaib Ahmed,0.02737,0.00044,0.33333
651,KK Ahmed,0.0408,0.00044,0.2
652,K Yadav,0.0,0.00044,0.0
653,Yash Dayal,0.0,0.00044,0.0
654,RP Meredith,0.0,0.00044,0.0
655,Y Prithvi Raj,0.0,0.00044,0.0
656,R Sanjay Yadav,0.0,0.00044,0.0
657,SS Cottrell,0.0,0.00044,0.0
658,JL Denly,0.0,0.00044,0.0
659,V Pratap Singh,0.0,0.00044,0.0
660,S Lamichhane,0.0,0.00044,0.0
661,ND Doshi,0.0,0.00044,0.0
662,S Ladda,0.0,0.00044,0.0
663,YA Abdulla,0.0,0.00044,0.0
664,A Nel,0.0,0.00044,0.0
665,U Kaul,0.0,0.00044,0.0
666,Sunny Gupta,0.0,0.00044,0.0
667,RR Bhatkal,0.0,0.00044,0.0
668,C Nanda,0.0,0.00044,0.0
669,L Ablish,0.0,0.00044,0.0
670,IC Pandey,0.0,0.00044,0.0
671,KM Asif,0.0,0.00044,0.0
672,KR Sen,0.0,0.00044,0.0
673,Mayank Dagar,0.0,0.00044,0.0
674,Abdur Razzak,0.0,0.00044,0.0
675,S Kaushik,0.0,0.00044,0.0
