Rank,Batsman,In Strength,PageRank Score,Batting Average
131,A Flintoff,2.61185,0.00045,20.66667
132,KD Karthik,149.10024,0.01256,20.52119
133,SS Tiwary,56.39205,0.00191,20.46575
134,MS Bisla,30.80168,0.00101,20.46154
135,JEC Franklin,12.94552,0.00058,20.4375
136,MM Ali,38.84255,0.00122,20.38596
137,SD Hope,6.10836,0.00048,20.33333
138,JM Sharma,27.43528,0.00088,20.27778
139,WP Saha,88.61433,0.00371,20.23448
140,R Parag,41.78513,0.00131,20.22414
141,Sikandar Raza,7.00861,0.00049,20.22222
142,Niraj Patel,4.97819,0.00047,20.16667
143,Naman Dhir,5.10465,0.00047,20.0
144,MK Tiwary,62.98212,0.0022 ,19.94118
145,KA Pollard,116.01529,0.00639,19.64
146,SP Fleming,7.90104,0.0005 ,19.6
147,MW Short,4.425,0.00046,19.5
148,MJ Guptill,10.99628,0.00056,19.35714
149,HH Pandya,84.75424,0.00329,19.34351
150,YV Takawale,8.07262,0.0005 ,19.2
151,DR Martyn,0.72945,0.00044,19.0
152,P Ray Barman,0.77795,0.00044,19.0
153,Gulbadin Naib,0.85876,0.00044,19.0
154,Y Gnaneswara Rao,0.76453,0.00044,19.0
155,LA Pomersbach,13.37079,0.00059,18.875
156,SO Hetmyer,43.35002,0.00131,18.83333
157,LRPL Taylor,39.55547,0.00125,18.83333
158,TH David,24.97986,0.00081,18.82857
159,SW Billings,19.64589,0.00073,18.62963
160,V Shankar,43.21289,0.0014 ,18.58333
161,CJ Anderson,20.77053,0.00077,18.55172
162,MC Henriques,39.01563,0.00127,18.51852
163,EJG Morgan,52.83454,0.00175,18.5
164,Azhar Mahmood,15.64105,0.00066,18.47619
165,MR Marsh,26.41192,0.00093,18.47222
166,S Sohal,15.27427,0.00063,18.4
167,SM Curran,33.45783,0.00099,18.39583
168,SM Pollock,5.19898,0.00047,18.375
169,M Klinger,2.80309,0.00045,18.25
170,RR Sarwan,2.64529,0.00045,18.25
171,Y Venugopal Rao,39.82991,0.00126,18.24074
172,S Vidyut,5.63526,0.00047,18.125
173,A Badoni,23.47859,0.0008 ,18.11429
174,BJ Haddin,0.68891,0.00044,18.0
175,GJ Bailey,26.11013,0.0009 ,17.91892
176,MC Juneja,5.31444,0.00048,17.85714
177,CA Pujara,15.1055,0.00064,17.72727
178,LJ Wright,4.37574,0.00046,17.66667
179,AL Menaria,16.12405,0.00066,17.43478
180,Mandeep Singh,59.216,0.00202,17.40816
181,HC Brook,7.35443,0.0005 ,17.27273
182,AD Mathews,28.19488,0.00096,17.2381
183,AC Blizzard,4.52189,0.00046,17.14286
184,AP Dole,1.53832,0.00044,17.0
185,TL Suman,25.12669,0.00085,16.9
186,FY Fazal,7.35867,0.00049,16.63636
187,NV Ojha,54.84829,0.00181,16.53191
188,DJM Short,4.23407,0.00046,16.42857
189,MV Boucher,15.36927,0.00064,16.41667
190,R Powell,13.11084,0.00058,16.36364
191,MJ Clarke,3.98884,0.00046,16.33333
192,W Jaffer,4.64899,0.00046,16.25
193,N Jagadeesan,6.48804,0.00048,16.2
194,LA Carseldine,3.41189,0.00045,16.2
195,PN Mankad,3.79861,0.00045,16.16667
196,RA Jadeja,104.81488,0.00518,16.08152
197,T Kohler-Cadmore,1.76786,0.00045,16.0
198,Arshad Khan,3.72006,0.00045,16.0
199,AJ Hosein,0.73767,0.00044,16.0
200,Gurkeerat Singh,18.72762,0.00074,15.96875
201,SN Khan,22.78846,0.00079,15.81081
202,Dhruv Jurel,13.58792,0.00058,15.77273
203,Anirudh Singh,2.33707,0.00045,15.75
204,BB Samantray,5.02936,0.00047,15.625
205,JR Philippe,2.924,0.00045,15.6
206,R Tewatia,37.167,0.00114,15.58462
207,S Sriram,0.95709,0.00044,15.5
208,Anmolpreet Singh,5.2331,0.00047,15.44444
209,A Manohar,9.39909,0.00053,15.4
210,Harpreet Singh,4.9252,0.00047,15.375
211,Anuj Rawat,12.45404,0.00058,15.14286
212,DJ Hooda,50.10938,0.00164,15.1134
213,MK Lomror,19.05243,0.0007 ,15.05714
214,Shakib Al Hasan,29.09492,0.00099,15.0
215,UBT Chand,11.0042,0.00057,15.0
216,TR Birt,3.04739,0.00045,15.0
217,DB Ravi Teja,14.49473,0.00064,15.0
218,C Madan,0.67298,0.00044,15.0
219,GR Napier,0.46238,0.00044,15.0
220,SD Lad,0.47906,0.00044,15.0
221,KM Jadhav,47.36944,0.00158,14.91358
222,PA Reddy,6.42074,0.00048,14.90909
223,KH Pandya,55.15955,0.00183,14.83784
224,RN ten Doeschate,13.34656,0.00061,14.81818
225,C Munro,6.56962,0.00049,14.75
226,DJG Sammy,11.53942,0.00057,14.75
227,RJ Quiney,4.1692,0.00046,14.71429
228,AR Patel,55.93467,0.00188,14.62832
229,Misbah-ul-Haq,4.169,0.00046,14.625
230,J Botha,16.95392,0.00069,14.60714
