batsman,bowler,runs
Vijaykumar Vyshak,B Kumar,1
WG Jacks,Harshit Rana,8
F du Plessis,CV Varun,0
RM Patidar,CV Varun,6
WG Jacks,CV Varun,15
WG Jacks,SP Narine,8
WG Jacks,MA Starc,22
WG Jacks,Suyash Sharma,2
RM Patidar,Suyash Sharma,30
WG Jacks,AD Russell,0
SS Prabhudessai,AD Russell,9
MK Lomror,SP Narine,4
SS Prabhudessai,CV Varun,14
SS Prabhudessai,Harshit Rana,1
KD Karthik,CV Varun,1
KV Sharma,Harshit Rana,2
KV Sharma,MA Starc,18
LH Ferguson,MA Starc,1
WG Jacks,T Natarajan,3
WG Jacks,Shahbaz Ahmed,1
RM Patidar,Shahbaz Ahmed,6
RM Patidar,JD Unadkat,7
V Kohli,JD Unadkat,7
RM Patidar,PJ Cummins,3
C Green,JD Unadkat,11
C Green,Shahbaz Ahmed,2
C Green,PJ Cummins,19
C Green,T Natarajan,5
Swapnil Singh,PJ Cummins,1
Swapnil Singh,T Natarajan,11
V Kohli,Azmatullah Omarzai,2
F du Plessis,Azmatullah Omarzai,16
V Kohli,S Sandeep Warrier,6
F du Plessis,S Sandeep Warrier,7
V Kohli,R Sai Kishore,19
F du Plessis,R Sai Kishore,1
WG Jacks,R Sai Kishore,10
WG Jacks,Rashid Khan,35
V Kohli,Rashid Khan,16
WG Jacks,Noor Ahmad,17
V Kohli,Noor Ahmad,37
WG Jacks,MM Sharma,39
V Kohli,MM Sharma,15
F du Plessis,MM Sharma,18
F du Plessis,J Little,34
V Kohli,MJ Suthar,14
F du Plessis,MJ Suthar,12
WG Jacks,J Little,0
RM Patidar,Noor Ahmad,1
RM Patidar,J Little,1
V Kohli,J Little,3
GJ Maxwell,J Little,4
C Green,J Little,1
KD Karthik,J Little,1
KD Karthik,Noor Ahmad,2
Swapnil Singh,Noor Ahmad,8
KD Karthik,Rashid Khan,18
Swapnil Singh,Rashid Khan,7
V Kohli,V Kaverappa,18
F du Plessis,V Kaverappa,8
WG Jacks,V Kaverappa,1
WG Jacks,SM Curran,11
RM Patidar,V Kaverappa,9
RM Patidar,Arshdeep Singh,9
V Kohli,LS Livingstone,20
C Green,LS Livingstone,7
C Green,RD Chahar,13
C Green,HV Patel,20
C Green,SM Curran,6
KD Karthik,RD Chahar,12
Swapnil Singh,HV Patel,1
V Kohli,I Sharma,19
F du Plessis,I Sharma,1
F du Plessis,KK Ahmed,5
V Kohli,KK Ahmed,7
F du Plessis,Mukesh Kumar,0
WG Jacks,Mukesh Kumar,1
V Kohli,Mukesh Kumar,1
RM Patidar,I Sharma,1
RM Patidar,Mukesh Kumar,14
WG Jacks,AR Patel,6
RM Patidar,AR Patel,16
RM Patidar,Kuldeep Yadav,12
WG Jacks,Kuldeep Yadav,14
RM Patidar,KK Ahmed,6
WG Jacks,KK Ahmed,8
RM Patidar,Rasikh Salam,3
WG Jacks,Rasikh Salam,12
C Green,Rasikh Salam,3
C Green,AR Patel,2
C Green,Kuldeep Yadav,17
MK Lomror,Kuldeep Yadav,8
MK Lomror,I Sharma,5
C Green,I Sharma,2
C Green,KK Ahmed,5
MK Lomror,KK Ahmed,0
KD Karthik,KK Ahmed,0
Swapnil Singh,Rasikh Salam,0
KV Sharma,Rasikh Salam,2
KV Sharma,Mukesh Kumar,4
C Green,Mukesh Kumar,3
V Kohli,TU Deshpande,14
F du Plessis,SN Thakur,11
V Kohli,SN Thakur,5
V Kohli,MJ Santner,13
F du Plessis,MJ Santner,8
F du Plessis,RA Jadeja,26
RM Patidar,MJ Santner,2
RM Patidar,RA Jadeja,1
RM Patidar,M Theekshana,9
C Green,Simarjeet Singh,6
RM Patidar,Simarjeet Singh,11
RM Patidar,SN Thakur,5
C Green,SN Thakur,25
RM Patidar,TU Deshpande,13
C Green,TU Deshpande,2
KD Karthik,SN Thakur,3
GJ Maxwell,TU Deshpande,4
GJ Maxwell,SN Thakur,12
MK Lomror,SN Thakur,0
F du Plessis,Sandeep Sharma,7
V Kohli,Sandeep Sharma,17
C Green,TA Boult,0
C Green,Sandeep Sharma,1
C Green,R Ashwin,7
RM Patidar,YS Chahal,14
RM Patidar,R Ashwin,7
RM Patidar,Avesh Khan,13
GJ Maxwell,R Ashwin,0
MK Lomror,R Ashwin,0
MK Lomror,YS Chahal,14
KD Karthik,Avesh Khan,2
MK Lomror,Avesh Khan,5
KD Karthik,YS Chahal,2
KD Karthik,Sandeep Sharma,6
MK Lomror,Sandeep Sharma,4
MK Lomror,TA Boult,9
KD Karthik,TA Boult,1
Swapnil Singh,Avesh Khan,1
KV Sharma,Avesh Khan,0
Swapnil Singh,Sandeep Sharma,8
KV Sharma,Sandeep Sharma,5
