bowler,batsman,times
S Gopal,Mandeep Singh,1
IS Sodhi,C de Grandhomme,1
B Laughlin,SN Khan,1
B Laughlin,UT Yadav,1
JD Unadkat,TG Southee,1
JD Unadkat,Mohammed Siraj,1
Harbhajan Singh,V Kohli,1
Harbhajan Singh,MM Ali,1
Harbhajan Singh,SO Hetmyer,1
Imran Tahir,S Dube,1
RA Jadeja,C de Grandhomme,1
Imran Tahir,NA Saini,2
Imran Tahir,YS Chahal,1
RA Jadeja,UT Yadav,1
DJ Bravo,PA Patel,2
JJ Bumrah,MM Ali,1
M Markande,PA Patel,1
JJ Bumrah,V Kohli,4
JJ Bumrah,SO Hetmyer,1
JJ Bumrah,C de Grandhomme,1
Mohammad Nabi,PA Patel,1
Mohammad Nabi,SO Hetmyer,1
Mohammad Nabi,AB de Villiers,1
Sandeep Sharma,MM Ali,1
Mohammad Nabi,S Dube,1
Sandeep Sharma,P Ray Barman,1
Rashid Khan,UT Yadav,1
V Shankar,C de Grandhomme,1
Sandeep Sharma,YS Chahal,1
S Gopal,SO Hetmyer,1
JC Archer,PA Patel,1
N Rana,PA Patel,1
Kuldeep Yadav,V Kohli,1
CH Morris,PA Patel,1
K Rabada,AB de Villiers,1
AR Patel,MP Stoinis,1
S Lamichhane,MM Ali,1
K Rabada,V Kohli,3
K Rabada,AD Nath,1
K Rabada,P Negi,1
CH Morris,Mohammed Siraj,1
R Ashwin,PA Patel,2
Mohammed Shami,V Kohli,5
JP Behrendorff,V Kohli,2
HH Pandya,PA Patel,1
SL Malinga,MM Ali,1
SL Malinga,MP Stoinis,1
SL Malinga,AB de Villiers,1
SL Malinga,AD Nath,1
SL Malinga,P Negi,1
SP Narine,PA Patel,1
AD Russell,AD Nath,1
Kuldeep Yadav,MM Ali,1
HF Gurney,V Kohli,1
DL Chahar,V Kohli,1
RA Jadeja,AB de Villiers,3
RA Jadeja,AD Nath,1
Imran Tahir,MP Stoinis,1
DL Chahar,P Negi,1
DJ Bravo,MM Ali,1
M Ashwin,PA Patel,1
R Ashwin,MM Ali,1
GC Viljoen,AD Nath,1
K Rabada,PA Patel,1
AR Patel,V Kohli,1
SE Rutherford,AB de Villiers,1
A Mishra,H Klaasen,1
A Mishra,S Dube,1
I Sharma,Gurkeerat Singh,1
K Rabada,Washington Sundar,3
S Gopal,MP Stoinis,1
R Parag,Gurkeerat Singh,1
JD Unadkat,PA Patel,1
O Thomas,H Klaasen,1
O Thomas,P Negi,1
B Kumar,PA Patel,3
KK Ahmed,V Kohli,1
B Kumar,AB de Villiers,3
Rashid Khan,SO Hetmyer,1
KK Ahmed,Gurkeerat Singh,1
KK Ahmed,Washington Sundar,1
LH Ferguson,AJ Finch,1
LH Ferguson,D Padikkal,3
RD Chahar,JR Philippe,1
KA Pollard,AB de Villiers,3
JJ Bumrah,S Dube,1
JJ Bumrah,D Padikkal,2
TA Boult,CH Morris,1
Sandeep Sharma,D Padikkal,1
S Nadeem,AB de Villiers,1
Rashid Khan,JR Philippe,1
T Natarajan,Washington Sundar,2
JO Holder,CH Morris,1
JO Holder,I Udana,1
K Rabada,JR Philippe,1
R Ashwin,V Kohli,1
A Nortje,D Padikkal,2
A Nortje,CH Morris,1
K Rabada,S Dube,2
A Nortje,AB de Villiers,2
A Nortje,I Udana,1
SS Cottrell,D Padikkal,1
Mohammed Shami,JR Philippe,1
SS Cottrell,V Kohli,1
Ravi Bishnoi,AJ Finch,1
M Ashwin,AB de Villiers,1
GJ Maxwell,S Dube,1
Ravi Bishnoi,UT Yadav,1
Ravi Bishnoi,Washington Sundar,1
M Ashwin,NA Saini,1
M Ashwin,YS Chahal,1
S Gopal,AJ Finch,2
JC Archer,D Padikkal,1
R Ashwin,D Padikkal,1
AR Patel,AJ Finch,1
AR Patel,MM Ali,1
K Rabada,I Udana,1
A Nortje,Mohammed Siraj,1
R Tewatia,D Padikkal,1
Kartik Tyagi,V Kohli,1
DL Chahar,AJ Finch,1
SN Thakur,D Padikkal,3
SN Thakur,AB de Villiers,2
SM Curran,Washington Sundar,1
Arshdeep Singh,D Padikkal,1
M Ashwin,AJ Finch,1
M Ashwin,Washington Sundar,1
CJ Jordan,S Dube,1
Mohammed Shami,AB de Villiers,1
V Shankar,D Padikkal,1
Abhishek Sharma,AJ Finch,1
T Natarajan,V Kohli,1
B Kumar,S Dube,1
AD Russell,D Padikkal,1
M Prasidh Krishna,AJ Finch,1
SM Curran,AJ Finch,1
MJ Santner,D Padikkal,1
DL Chahar,AB de Villiers,1
SM Curran,MM Ali,1
SM Curran,V Kohli,2
DL Chahar,CH Morris,1
TA Boult,AJ Finch,1
RD Chahar,V Kohli,1
TA Boult,D Padikkal,1
JO Holder,V Kohli,2
JO Holder,D Padikkal,1
S Nadeem,AJ Finch,1
S Nadeem,MM Ali,1
JO Holder,S Dube,1
T Natarajan,AB de Villiers,1
TA Boult,RM Patidar,1
M Jansen,GJ Maxwell,1
M Jansen,Shahbaz Ahmed,1
JJ Bumrah,DT Christian,1
JJ Bumrah,KA Jamieson,1
M Jansen,AB de Villiers,1
B Kumar,D Padikkal,1
S Nadeem,Shahbaz Ahmed,1
Rashid Khan,Washington Sundar,1
T Natarajan,DT Christian,1
JO Holder,KA Jamieson,1
JO Holder,GJ Maxwell,1
CV Varun,V Kohli,1
CV Varun,RM Patidar,1
M Prasidh Krishna,D Padikkal,1
PJ Cummins,GJ Maxwell,1
RA Jadeja,Washington Sundar,1
RA Jadeja,GJ Maxwell,3
Imran Tahir,DT Christian,1
Imran Tahir,HV Patel,1
DJ Bravo,KA Jamieson,1
Avesh Khan,V Kohli,2
I Sharma,D Padikkal,1
A Mishra,GJ Maxwell,1
AR Patel,RM Patidar,1
RP Meredith,D Padikkal,1
Harpreet Brar,V Kohli,2
Harpreet Brar,GJ Maxwell,3
Harpreet Brar,AB de Villiers,1
CJ Jordan,RM Patidar,1
Ravi Bishnoi,Shahbaz Ahmed,1
Ravi Bishnoi,DR Sams,1
Mohammed Shami,HV Patel,1
M Prasidh Krishna,V Kohli,3
AD Russell,KS Bharat,1
AD Russell,AB de Villiers,1
CV Varun,GJ Maxwell,3
CV Varun,PWH de Silva,1
CV Varun,Sachin Baby,1
CV Varun,KA Jamieson,1
LH Ferguson,HV Patel,1
AD Russell,Mohammed Siraj,1
MC Henriques,V Kohli,1
MC Henriques,DT Christian,1
MC Henriques,D Padikkal,1
Arshdeep Singh,AB de Villiers,1
Mohammed Shami,GJ Maxwell,1
Mohammed Shami,Shahbaz Ahmed,1
Mohammed Shami,GHS Garton,1
B Kumar,V Kohli,4
S Kaul,DT Christian,1
Umran Malik,KS Bharat,1
Rashid Khan,GJ Maxwell,2
Rashid Khan,D Padikkal,1
JO Holder,Shahbaz Ahmed,2
A Nortje,V Kohli,1
AR Patel,AB de Villiers,2
Mustafizur Rahman,D Padikkal,1
CH Morris,V Kohli,2
Mustafizur Rahman,KS Bharat,1
RD Chahar,KS Bharat,1
AF Milne,V Kohli,1
JJ Bumrah,GJ Maxwell,1
JJ Bumrah,AB de Villiers,3
TA Boult,Shahbaz Ahmed,3
DJ Bravo,V Kohli,2
DL Chahar,TH David,1
DJ Bravo,GJ Maxwell,1
DJ Bravo,HV Patel,2
SP Narine,KS Bharat,1
SP Narine,V Kohli,4
SP Narine,GJ Maxwell,1
LH Ferguson,Shahbaz Ahmed,1
Shivam Mavi,DT Christian,1
RD Chahar,Anuj Rawat,1
Arshdeep Singh,F du Plessis,1
UT Yadav,Anuj Rawat,1
TG Southee,F du Plessis,1
SP Narine,DJ Willey,1
CV Varun,Shahbaz Ahmed,1
TG Southee,SE Rutherford,1
TG Southee,PWH de Silva,1
YS Chahal,F du Plessis,1
Navdeep Saini,Anuj Rawat,1
YS Chahal,V Kohli,1
YS Chahal,DJ Willey,1
TA Boult,SE Rutherford,1
JD Unadkat,F du Plessis,1
JD Unadkat,Anuj Rawat,1
D Brevis,V Kohli,1
M Theekshana,F du Plessis,1
Mukesh Choudhary,V Kohli,1
