batsman,bowler,runs
RA Jadeja,AB Agarkar,4
RA Jadeja,RE van der Merwe,10
RA Jadeja,IK Pathan,9
B Akhil,M Morkel,2
RA Jadeja,M Morkel,7
B Akhil,UT Yadav,11
RA Jadeja,UT Yadav,1
R Vinay Kumar,M Morkel,1
R Vinay Kumar,RE van der Merwe,2
R Vinay Kumar,AB Agarkar,8
RR Powar,RE van der Merwe,0
S Sreesanth,RE van der Merwe,0
RP Singh,RE van der Merwe,1
M Klinger,UT Yadav,1
BB McCullum,UT Yadav,20
PA Patel,M Morkel,11
PA Patel,AB Agarkar,12
M Klinger,AB Agarkar,3
M Klinger,RE van der Merwe,0
PA Patel,RE van der Merwe,7
PA Patel,Y Nagar,2
BJ Hodge,Y Nagar,12
M Klinger,JD Unadkat,10
BB McCullum,JD Unadkat,1
PA Patel,JD Unadkat,6
PA Patel,B Lee,9
M Klinger,B Lee,1
M Klinger,Iqbal Abdulla,6
DPMD Jayawardene,JD Unadkat,1
M Klinger,JH Kallis,7
DPMD Jayawardene,JH Kallis,12
M Klinger,S Ladda,2
DPMD Jayawardene,S Ladda,10
DPMD Jayawardene,R Bhatia,16
M Klinger,R Bhatia,2
M Klinger,YK Pathan,1
RA Jadeja,JD Unadkat,6
RA Jadeja,R Bhatia,1
BJ Hodge,R Bhatia,3
BJ Hodge,B Lee,29
BJ Hodge,JH Kallis,1
M Klinger,Z Khan,12
M Klinger,S Aravind,8
BB McCullum,S Aravind,5
BB McCullum,CH Gayle,11
M Klinger,CH Gayle,0
PA Patel,DL Vettori,12
M Klinger,DL Vettori,2
M Klinger,A Mithun,2
PA Patel,A Mithun,6
DPMD Jayawardene,CH Gayle,1
PA Patel,CH Gayle,1
BJ Hodge,CH Gayle,2
RA Jadeja,CH Gayle,6
BJ Hodge,A Mithun,3
RA Jadeja,A Mithun,2
RA Jadeja,S Aravind,3
BJ Hodge,S Aravind,0
RV Gomez,S Aravind,0
RV Gomez,TM Dilshan,0
RV Gomez,DL Vettori,5
