batsman,innings
BB McCullum,13
VVS Laxman,3
DPMD Jayawardene,13
BJ Hodge,14
RA Jadeja,12
RV Gomez,8
PA Patel,13
R Vinay Kumar,7
S Sreesanth,3
RP Singh,5
KM Jadhav,4
RR Powar,3
NLTC Perera,2
M Muralitharan,1
M Klinger,4
B Akhil,1
P Parameswaran,1
OA Shah,2
Y Gnaneswara Rao,1
