batsman,innings
Shubman Gill,45
MS Wade,11
V Shankar,21
HH Pandya,30
DA Miller,38
R Tewatia,31
A Manohar,15
Rashid Khan,25
B Sai Sudharsan,25
WP Saha,37
AS Joseph,5
LH Ferguson,3
Yash Dayal,1
PJ Sangwan,1
Noor Ahmad,7
MD Shanaka,3
Mohammed Shami,2
MM Sharma,4
DG Nalkande,2
Azmatullah Omarzai,4
UT Yadav,2
SH Johnson,3
KS Williamson,2
BR Sharath,1
M Shahrukh Khan,7
R Sai Kishore,2
MJ Suthar,1
