bowler,batsman,times
Avesh Khan,M Shahrukh Khan,1
Avesh Khan,R Tewatia,1
I Sharma,Shubman Gill,1
Mukesh Kumar,WP Saha,1
I Sharma,B Sai Sudharsan,1
I Sharma,DA Miller,1
T Stubbs,A Manohar,1
T Stubbs,M Shahrukh Khan,1
AR Patel,R Tewatia,1
KK Ahmed,MM Sharma,1
Mukesh Kumar,Rashid Khan,1
Mukesh Kumar,Noor Ahmad,1
Arshdeep Singh,WP Saha,1
LS Livingstone,Shubman Gill,1
SM Curran,B Sai Sudharsan,1
HV Patel,Azmatullah Omarzai,1
HV Patel,M Shahrukh Khan,1
HV Patel,Rashid Khan,1
Kuldeep Yadav,WP Saha,1
AR Patel,Azmatullah Omarzai,1
Rasikh Salam,B Sai Sudharsan,1
Rasikh Salam,M Shahrukh Khan,1
Kuldeep Yadav,R Tewatia,1
Mukesh Kumar,DA Miller,1
Rasikh Salam,R Sai Kishore,1
Swapnil Singh,WP Saha,1
GJ Maxwell,Shubman Gill,1
Mohammed Siraj,M Shahrukh Khan,1
Mohammed Siraj,Shubman Gill,1
C Green,B Sai Sudharsan,1
KV Sharma,DA Miller,1
Vijaykumar Vyshak,M Shahrukh Khan,1
Yash Dayal,Rashid Khan,1
Yash Dayal,R Tewatia,1
Vijaykumar Vyshak,MJ Suthar,1
Vijaykumar Vyshak,MM Sharma,1
TU Deshpande,B Sai Sudharsan,1
Simarjeet Singh,M Shahrukh Khan,1
