batsman,bowler,runs
B Sai Sudharsan,PWH de Silva,10
B Sai Sudharsan,Shahbaz Ahmed,6
HH Pandya,Shahbaz Ahmed,2
HH Pandya,PWH de Silva,13
DA Miller,Shahbaz Ahmed,10
B Sai Sudharsan,HV Patel,8
DA Miller,HV Patel,18
DA Miller,PWH de Silva,18
R Tewatia,PWH de Silva,4
R Tewatia,Mohammed Siraj,14
DA Miller,Mohammed Siraj,10
R Tewatia,HV Patel,30
R Tewatia,JR Hazlewood,17
DA Miller,JR Hazlewood,9
WP Saha,Sandeep Sharma,16
WP Saha,K Rabada,32
Shubman Gill,Sandeep Sharma,14
B Sai Sudharsan,Sandeep Sharma,12
HH Pandya,Sandeep Sharma,0
B Sai Sudharsan,R Dhawan,15
HH Pandya,R Dhawan,0
DA Miller,R Dhawan,5
DA Miller,LS Livingstone,7
DA Miller,Sandeep Sharma,12
R Tewatia,LS Livingstone,1
R Tewatia,R Dhawan,3
R Tewatia,RD Chahar,3
R Tewatia,Arshdeep Singh,15
R Tewatia,K Rabada,16
Rashid Khan,K Rabada,0
PJ Sangwan,K Rabada,1
PJ Sangwan,Arshdeep Singh,1
LH Ferguson,Arshdeep Singh,1
LH Ferguson,K Rabada,4
AS Joseph,K Rabada,2
AS Joseph,Arshdeep Singh,2
WP Saha,DR Sams,2
Shubman Gill,DR Sams,13
WP Saha,JJ Bumrah,29
Shubman Gill,M Ashwin,20
WP Saha,M Ashwin,7
WP Saha,RP Meredith,12
Shubman Gill,JJ Bumrah,1
Shubman Gill,K Kartikeya,34
WP Saha,K Kartikeya,7
Shubman Gill,RP Meredith,15
WP Saha,KA Pollard,2
Shubman Gill,KA Pollard,3
HH Pandya,M Ashwin,2
HH Pandya,RP Meredith,9
B Sai Sudharsan,RP Meredith,5
B Sai Sudharsan,K Kartikeya,6
HH Pandya,K Kartikeya,7
B Sai Sudharsan,KA Pollard,7
HH Pandya,KA Pollard,1
HH Pandya,JJ Bumrah,6
DA Miller,JJ Bumrah,16
DA Miller,RP Meredith,21
R Tewatia,RP Meredith,8
R Tewatia,JJ Bumrah,6
DA Miller,DR Sams,1
R Tewatia,DR Sams,1
Rashid Khan,DR Sams,1
WP Saha,Mohsin Khan,32
Shubman Gill,Mohsin Khan,16
WP Saha,PVD Chameera,4
MS Wade,PVD Chameera,9
Shubman Gill,Avesh Khan,39
Shubman Gill,KH Pandya,40
HH Pandya,JO Holder,6
Shubman Gill,JO Holder,7
DA Miller,JO Holder,13
DA Miller,Mohsin Khan,4
R Tewatia,Mohsin Khan,3
R Tewatia,JO Holder,12
Shubman Gill,Simarjeet Singh,25
WP Saha,Simarjeet Singh,19
Shubman Gill,MJ Santner,41
WP Saha,MJ Santner,5
WP Saha,PH Solanki,9
Shubman Gill,PH Solanki,3
Shubman Gill,M Pathirana,5
MS Wade,M Pathirana,11
WP Saha,M Pathirana,8
MS Wade,MJ Santner,6
MS Wade,MM Ali,3
WP Saha,MM Ali,3
HH Pandya,MM Ali,5
HH Pandya,PH Solanki,2
HH Pandya,M Pathirana,7
DA Miller,M Pathirana,9
DA Miller,PH Solanki,4
DA Miller,Simarjeet Singh,14
WP Saha,S Kaul,14
MS Wade,JR Hazlewood,15
MS Wade,GJ Maxwell,1
HH Pandya,GJ Maxwell,10
WP Saha,MK Lomror,4
HH Pandya,MK Lomror,7
HH Pandya,HV Patel,4
DA Miller,GJ Maxwell,17
HH Pandya,S Kaul,14
DA Miller,S Kaul,4
HH Pandya,JR Hazlewood,15
Rashid Khan,JR Hazlewood,8
Rashid Khan,S Kaul,11
WP Saha,TA Boult,23
MS Wade,TA Boult,21
MS Wade,M Prasidh Krishna,13
Shubman Gill,TA Boult,37
Shubman Gill,R Ashwin,65
MS Wade,R Ashwin,2
MS Wade,YS Chahal,9
HH Pandya,OC McCoy,25
MS Wade,OC McCoy,0
DA Miller,OC McCoy,24
DA Miller,TA Boult,7
HH Pandya,TA Boult,11
WP Saha,M Prasidh Krishna,4
Shubman Gill,OC McCoy,13
WP Saha,DL Chahar,50
Shubman Gill,DL Chahar,33
WP Saha,TU Deshpande,20
Shubman Gill,TU Deshpande,60
WP Saha,RS Hangargekar,5
Shubman Gill,RS Hangargekar,7
B Sai Sudharsan,RS Hangargekar,4
B Sai Sudharsan,TU Deshpande,43
B Sai Sudharsan,MJ Santner,25
B Sai Sudharsan,RA Jadeja,53
Shubman Gill,RA Jadeja,41
HH Pandya,RS Hangargekar,3
HH Pandya,RA Jadeja,2
HH Pandya,MJ Santner,3
V Shankar,RA Jadeja,5
V Shankar,RS Hangargekar,12
V Shankar,TU Deshpande,18
V Shankar,MJ Santner,6
R Tewatia,MJ Santner,1
V Shankar,DL Chahar,6
R Tewatia,DL Chahar,4
R Tewatia,RS Hangargekar,1
Rashid Khan,DL Chahar,10
R Tewatia,TU Deshpande,10
WP Saha,KK Ahmed,37
Shubman Gill,Mukesh Kumar,9
WP Saha,A Nortje,4
B Sai Sudharsan,A Nortje,40
Shubman Gill,A Nortje,9
B Sai Sudharsan,Mukesh Kumar,21
HH Pandya,A Nortje,20
B Sai Sudharsan,KK Ahmed,20
B Sai Sudharsan,MR Marsh,8
V Shankar,MR Marsh,11
B Sai Sudharsan,Kuldeep Yadav,22
V Shankar,Mukesh Kumar,2
V Shankar,A Nortje,3
DA Miller,MR Marsh,4
DA Miller,Mukesh Kumar,31
DA Miller,A Nortje,26
WP Saha,SN Thakur,5
Shubman Gill,LH Ferguson,2
WP Saha,LH Ferguson,4
