batsman,innings
KL Rahul,38
Q de Kock,30
E Lewis,5
MK Pandey,6
DJ Hooda,35
A Badoni,35
KH Pandya,39
PVD Chameera,8
JO Holder,8
K Gowtham,8
MP Stoinis,39
Avesh Khan,5
Ravi Bishnoi,11
Mohsin Khan,5
KS Sharma,3
M Vohra,2
KR Mayers,13
N Pooran,29
MA Wood,2
R Shepherd,1
JD Unadkat,1
Yudhvir Singh,4
PN Mankad,5
A Mishra,1
Naveen-ul-Haq,6
Swapnil Singh,1
D Padikkal,7
Arshad Khan,3
Arshad Khan (2),1
AA Kulkarni,2
AJ Turner,2
