batsman,innings
AM Rahane,16
MA Agarwal,3
SPD Smith,15
BA Stokes,11
MS Dhoni,15
MK Tiwary,13
DT Christian,9
R Bhatia,2
F du Plessis,1
RA Tripathi,14
DL Chahar,1
A Zampa,1
AB Dinda,1
Imran Tahir,1
Ankit Sharma,1
SN Thakur,3
LH Ferguson,1
RD Chahar,1
JD Unadkat,2
Washington Sundar,5
