MA Agarwal,Sandeep Sharma,8
MA Agarwal,Anureet Singh,16
SS Iyer,Sandeep Sharma,6
JP Duminy,Anureet Singh,5
JP Duminy,Sandeep Sharma,8
JP Duminy,MG Johnson,6
MA Agarwal,MG Johnson,20
JP Duminy,R Dhawan,2
MA Agarwal,R Dhawan,10
JP Duminy,AR Patel,0
MA Agarwal,AR Patel,6
Yuvraj Singh,AR Patel,16
Yuvraj Singh,MG Johnson,15
Yuvraj Singh,Sandeep Sharma,5
MA Agarwal,GJ Maxwell,8
Yuvraj Singh,GJ Maxwell,2
Yuvraj Singh,R Dhawan,9
Yuvraj Singh,Anureet Singh,7
KM Jadhav,Anureet Singh,2
AD Mathews,Anureet Singh,1
KM Jadhav,AR Patel,1
AD Mathews,AR Patel,5
