NV Ojha,V Pratap Singh,1
V Sehwag,V Pratap Singh,7
KP Pietersen,DW Steyn,9
KP Pietersen,V Pratap Singh,10
V Sehwag,DW Steyn,0
DPMD Jayawardene,DW Steyn,5
DPMD Jayawardene,DT Christian,1
KP Pietersen,DT Christian,19
LRPL Taylor,V Pratap Singh,6
LRPL Taylor,JP Duminy,3
KP Pietersen,JP Duminy,28
KP Pietersen,A Mishra,24
LRPL Taylor,Ankit Sharma,3
KP Pietersen,Ankit Sharma,13
LRPL Taylor,DT Christian,1
IK Pathan,DT Christian,1
IK Pathan,JP Duminy,2
IK Pathan,Ankit Sharma,1
IK Pathan,A Mishra,1
IK Pathan,DW Steyn,0
Y Nagar,DW Steyn,5
Y Nagar,DT Christian,11
Y Nagar,V Pratap Singh,7
