DA Warner,Mohammed Siraj,9
PD Salt,Mohammed Siraj,18
PD Salt,GJ Maxwell,5
DA Warner,GJ Maxwell,1
PD Salt,JR Hazlewood,12
DA Warner,JR Hazlewood,1
DA Warner,PWH de Silva,11
PD Salt,PWH de Silva,14
MR Marsh,JR Hazlewood,10
PD Salt,KV Sharma,20
MR Marsh,KV Sharma,4
MR Marsh,PWH de Silva,6
MR Marsh,MK Lomror,2
PD Salt,MK Lomror,11
MR Marsh,HV Patel,4
RR Rossouw,HV Patel,20
RR Rossouw,PWH de Silva,1
PD Salt,HV Patel,7
RR Rossouw,JR Hazlewood,5
RR Rossouw,KV Sharma,2
AR Patel,KV Sharma,7
RR Rossouw,GJ Maxwell,7
AR Patel,GJ Maxwell,1
