JD Ryder,FH Edwards,0
JH Kallis,FH Edwards,10
RV Uthappa,FH Edwards,2
RV Uthappa,RP Singh,7
JH Kallis,RP Singh,5
KP Pietersen,RP Singh,1
RV Uthappa,Harmeet Singh,2
KP Pietersen,Harmeet Singh,2
RV Uthappa,PP Ojha,1
KP Pietersen,PP Ojha,6
RV Uthappa,SB Styris,0
KP Pietersen,SB Styris,2
R Dravid,SB Styris,10
R Dravid,PP Ojha,14
V Kohli,PP Ojha,6
V Kohli,Harmeet Singh,12
R Dravid,Harmeet Singh,23
R Dravid,FH Edwards,1
V Kohli,FH Edwards,19
V Kohli,SB Styris,12
R Bishnoi,Harmeet Singh,1
KV Sharma,SB Styris,1
P Kumar,SB Styris,6
P Kumar,FH Edwards,6
V Kohli,RP Singh,1
P Kumar,RP Singh,2
A Kumble,RP Singh,1
