MEK Hussey,Ankit Sharma,18
LMP Simmons,Ankit Sharma,4
LMP Simmons,DS Kulkarni,12
MEK Hussey,DS Kulkarni,4
MEK Hussey,JP Faulkner,13
LMP Simmons,JP Faulkner,9
MEK Hussey,KK Cooper,5
LMP Simmons,KK Cooper,14
MEK Hussey,STR Binny,7
LMP Simmons,STR Binny,5
LMP Simmons,R Bhatia,18
MEK Hussey,R Bhatia,9
KA Pollard,Ankit Sharma,1
RG Sharma,R Bhatia,5
KA Pollard,R Bhatia,7
KA Pollard,KK Cooper,1
RG Sharma,KK Cooper,6
KA Pollard,JP Faulkner,3
RG Sharma,JP Faulkner,21
RG Sharma,DS Kulkarni,8
KA Pollard,DS Kulkarni,2
