MDKJ Perera,B Kumar,0
R Dravid,B Kumar,6
AM Rahane,B Kumar,6
R Dravid,AB Dinda,12
AM Rahane,AB Dinda,5
R Dravid,AD Mathews,17
AM Rahane,AD Mathews,2
R Dravid,R Sharma,5
AM Rahane,R Sharma,6
AM Rahane,Yuvraj Singh,5
R Dravid,Yuvraj Singh,10
AM Rahane,MR Marsh,6
R Dravid,MR Marsh,4
STR Binny,R Sharma,1
STR Binny,Yuvraj Singh,0
BJ Hodge,Yuvraj Singh,2
BJ Hodge,AD Mathews,4
DH Yagnik,Yuvraj Singh,9
DH Yagnik,R Sharma,3
BJ Hodge,R Sharma,1
JP Faulkner,R Sharma,0
JP Faulkner,AD Mathews,4
JP Faulkner,B Kumar,13
BJ Hodge,B Kumar,13
JP Faulkner,AB Dinda,2
BJ Hodge,AB Dinda,2
