PP Shaw,KK Ahmed,16
S Dhawan,Abhishek Sharma,5
PP Shaw,Abhishek Sharma,8
S Dhawan,S Kaul,3
PP Shaw,S Kaul,13
S Dhawan,KK Ahmed,2
PP Shaw,J Suchith,6
S Dhawan,J Suchith,13
PP Shaw,V Shankar,1
S Dhawan,V Shankar,3
S Dhawan,Rashid Khan,2
PP Shaw,Rashid Khan,9
RR Pant,Rashid Khan,20
RR Pant,J Suchith,1
SPD Smith,J Suchith,1
SPD Smith,V Shankar,9
RR Pant,V Shankar,4
SPD Smith,Rashid Khan,5
RR Pant,S Kaul,11
SPD Smith,S Kaul,3
RR Pant,KK Ahmed,6
SPD Smith,KK Ahmed,16
SO Hetmyer,S Kaul,1
MP Stoinis,KK Ahmed,2
