AJ Finch,Sandeep Sharma,9
S Dhawan,Sandeep Sharma,1
S Dhawan,MG Johnson,0
DA Warner,MG Johnson,2
AJ Finch,MG Johnson,10
DA Warner,Sandeep Sharma,6
AJ Finch,L Balaji,0
KL Rahul,L Balaji,3
DA Warner,L Balaji,0
Y Venugopal Rao,L Balaji,0
KL Rahul,R Dhawan,10
Y Venugopal Rao,R Dhawan,9
Y Venugopal Rao,Sandeep Sharma,2
KL Rahul,Sandeep Sharma,2
KL Rahul,AR Patel,4
IK Pathan,AR Patel,1
IK Pathan,R Dhawan,2
KL Rahul,GJ Maxwell,8
IK Pathan,GJ Maxwell,2
DJG Sammy,AR Patel,11
DJG Sammy,L Balaji,4
KV Sharma,L Balaji,1
KV Sharma,AR Patel,2
DW Steyn,AR Patel,2
DW Steyn,MG Johnson,5
KV Sharma,MG Johnson,6
DW Steyn,Sandeep Sharma,4
KV Sharma,Sandeep Sharma,1
A Mishra,MG Johnson,1
DW Steyn,L Balaji,1
A Mishra,L Balaji,2
B Kumar,L Balaji,1
A Mishra,R Dhawan,1
B Kumar,R Dhawan,0
