LMP Simmons,Sandeep Sharma,16
PA Patel,Sandeep Sharma,5
LMP Simmons,Anureet Singh,11
PA Patel,Anureet Singh,0
LMP Simmons,MG Johnson,4
PA Patel,MG Johnson,28
PA Patel,AR Patel,6
LMP Simmons,AR Patel,14
PA Patel,Karanveer Singh,8
LMP Simmons,Karanveer Singh,18
PA Patel,M Vijay,5
LMP Simmons,M Vijay,7
PA Patel,GJ Maxwell,7
LMP Simmons,GJ Maxwell,1
RG Sharma,MG Johnson,9
RG Sharma,Karanveer Singh,4
RG Sharma,AR Patel,4
RG Sharma,Anureet Singh,9
KA Pollard,Sandeep Sharma,3
KA Pollard,Anureet Singh,4
AT Rayudu,Anureet Singh,4
