VR Iyer,B Kumar,6
AM Rahane,B Kumar,1
VR Iyer,M Jansen,1
AM Rahane,M Jansen,18
N Rana,B Kumar,0
N Rana,M Jansen,7
N Rana,T Natarajan,17
AM Rahane,T Natarajan,1
AM Rahane,Washington Sundar,7
N Rana,Washington Sundar,1
N Rana,Umran Malik,1
AM Rahane,Umran Malik,1
SS Iyer,Umran Malik,11
SS Iyer,Washington Sundar,4
SW Billings,Washington Sundar,7
SW Billings,Umran Malik,11
RK Singh,Washington Sundar,1
RK Singh,T Natarajan,4
AD Russell,T Natarajan,10
SW Billings,T Natarajan,10
SW Billings,M Jansen,3
AD Russell,M Jansen,1
AD Russell,Umran Malik,7
AD Russell,B Kumar,12
SW Billings,B Kumar,3
SP Narine,B Kumar,0
AD Russell,Washington Sundar,19
SP Narine,Washington Sundar,1
