DR Smith,P Kumar,3
SR Tendulkar,P Kumar,1
SR Tendulkar,Azhar Mahmood,8
KD Karthik,P Kumar,11
KD Karthik,Azhar Mahmood,8
DR Smith,Azhar Mahmood,3
KD Karthik,P Awana,2
DR Smith,P Awana,5
KD Karthik,MS Gony,4
RG Sharma,MS Gony,24
DR Smith,MS Gony,10
RG Sharma,P Awana,7
DR Smith,PP Chawla,12
RG Sharma,PP Chawla,6
KA Pollard,PP Chawla,6
RG Sharma,DJ Hussey,28
KA Pollard,DJ Hussey,3
KA Pollard,P Awana,1
KA Pollard,MS Gony,3
RG Sharma,Azhar Mahmood,12
KA Pollard,Azhar Mahmood,1
KA Pollard,P Kumar,6
RG Sharma,P Kumar,2
