RE Levi,M Kartik,0
RG Sharma,M Kartik,1
AT Rayudu,M Kartik,1
AT Rayudu,AB Dinda,0
JEC Franklin,AB Dinda,1
RG Sharma,AB Dinda,0
JEC Franklin,MN Samuels,6
KD Karthik,MN Samuels,7
KD Karthik,AB Dinda,4
JEC Franklin,WD Parnell,6
KD Karthik,WD Parnell,7
KD Karthik,R Sharma,7
JEC Franklin,R Sharma,5
JEC Franklin,B Kumar,11
KD Karthik,B Kumar,2
KD Karthik,M Kartik,5
JEC Franklin,M Kartik,3
SA Yadav,M Kartik,0
SA Yadav,B Kumar,0
SA Yadav,MN Samuels,0
KA Pollard,MN Samuels,1
KA Pollard,R Sharma,3
KA Pollard,M Kartik,4
Harbhajan Singh,MN Samuels,6
Harbhajan Singh,AB Dinda,9
SL Malinga,AB Dinda,1
Harbhajan Singh,WD Parnell,1
SL Malinga,WD Parnell,4
PP Ojha,WD Parnell,0
MM Patel,AB Dinda,1
