GC Smith,FH Edwards,0
SA Asnodkar,FH Edwards,0
LA Carseldine,FH Edwards,4
NV Ojha,RP Singh,0
RA Jadeja,RP Singh,2
LA Carseldine,DR Smith,13
LA Carseldine,RP Singh,9
LA Carseldine,RG Sharma,10
RA Jadeja,RG Sharma,3
LA Carseldine,PP Ojha,2
RA Jadeja,PP Ojha,7
RA Jadeja,Y Venugopal Rao,0
SK Warne,Y Venugopal Rao,15
LA Carseldine,Y Venugopal Rao,1
AS Raut,Y Venugopal Rao,7
AS Raut,PP Ojha,9
SK Warne,PP Ojha,4
AS Raut,Shoaib Ahmed,4
SK Warne,Shoaib Ahmed,2
YK Pathan,PP Ojha,4
YK Pathan,Shoaib Ahmed,13
AS Raut,FH Edwards,7
YK Pathan,FH Edwards,5
YK Pathan,RP Singh,2
AS Raut,RP Singh,4
SM Harwood,DR Smith,3
AS Raut,DR Smith,5
SM Harwood,FH Edwards,0
