JC Buttler,SP Narine,8
SPD Smith,SP Narine,1
JC Buttler,PJ Cummins,8
SPD Smith,PJ Cummins,2
JC Buttler,Shivam Mavi,5
SV Samson,Shivam Mavi,5
SV Samson,PJ Cummins,3
RV Uthappa,Shivam Mavi,2
RV Uthappa,PJ Cummins,0
R Parag,Shivam Mavi,1
RV Uthappa,KL Nagarkoti,0
R Tewatia,KL Nagarkoti,11
R Parag,KL Nagarkoti,0
TK Curran,KL Nagarkoti,2
TK Curran,Shivam Mavi,5
R Tewatia,Shivam Mavi,2
TK Curran,CV Varun,11
R Tewatia,CV Varun,1
S Gopal,CV Varun,2
S Gopal,SP Narine,3
TK Curran,SP Narine,27
JC Archer,SP Narine,0
JC Archer,CV Varun,6
JD Unadkat,CV Varun,5
JD Unadkat,Kuldeep Yadav,4
TK Curran,Kuldeep Yadav,9
AS Rajpoot,Kuldeep Yadav,7
