RD Gaikwad,Mohammed Siraj,10
R Ravindra,Yash Dayal,10
RD Gaikwad,Yash Dayal,5
R Ravindra,Mohammed Siraj,12
R Ravindra,AS Joseph,9
AM Rahane,AS Joseph,1
AM Rahane,Yash Dayal,13
AM Rahane,KV Sharma,4
R Ravindra,KV Sharma,6
AM Rahane,Mayank Dagar,3
DJ Mitchell,Mayank Dagar,3
DJ Mitchell,KV Sharma,14
AM Rahane,C Green,6
S Dube,C Green,11
DJ Mitchell,C Green,1
S Dube,AS Joseph,14
DJ Mitchell,AS Joseph,4
RA Jadeja,C Green,6
RA Jadeja,GJ Maxwell,7
S Dube,GJ Maxwell,0
RA Jadeja,Mohammed Siraj,6
S Dube,Mohammed Siraj,9
RA Jadeja,AS Joseph,6
