TM Head,K Rabada,20
Abhishek Sharma,Arshdeep Singh,6
TM Head,Arshdeep Singh,1
AK Markram,Arshdeep Singh,0
Nithish Kumar Reddy,Arshdeep Singh,0
Abhishek Sharma,SM Curran,10
Nithish Kumar Reddy,HV Patel,6
RA Tripathi,HV Patel,1
Nithish Kumar Reddy,Harpreet Brar,38
RA Tripathi,Harpreet Brar,6
Nithish Kumar Reddy,SM Curran,12
RA Tripathi,SM Curran,4
H Klaasen,HV Patel,1
H Klaasen,Harpreet Brar,4
Nithish Kumar Reddy,K Rabada,8
H Klaasen,K Rabada,1
H Klaasen,SM Curran,3
Abdul Samad,HV Patel,21
Abdul Samad,Arshdeep Singh,4
Shahbaz Ahmed,Arshdeep Singh,12
PJ Cummins,Arshdeep Singh,1
PJ Cummins,K Rabada,2
B Kumar,K Rabada,0
B Kumar,Arshdeep Singh,3
Shahbaz Ahmed,SM Curran,2
B Kumar,SM Curran,3
JD Unadkat,SM Curran,6
